CustomerID,Name,Email,Location,SignupDate
1,Customer 1,customer1@example.com,New York,1/13/2022
2,Customer 2,customer2@example.com,Texas,5/6/2022
3,Customer 3,customer3@example.com,California,3/13/2022
4,Customer 4,customer4@example.com,New York,12/13/2022
5,Customer 5,customer5@example.com,Illinois,2/14/2022
6,Customer 6,customer6@example.com,Illinois,8/5/2022
7,Customer 7,customer7@example.com,New York,1/16/2022
8,Customer 8,customer8@example.com,New York,4/22/2022
9,Customer 9,customer9@example.com,California,9/16/2022
10,Customer 10,customer10@example.com,Illinois,1/14/2022
11,Customer 11,customer11@example.com,Illinois,4/12/2022
12,Customer 12,customer12@example.com,Illinois,8/3/2022
13,Customer 13,customer13@example.com,California,8/18/2022
14,Customer 14,customer14@example.com,Illinois,5/23/2022
15,Customer 15,customer15@example.com,New York,1/24/2023
16,Customer 16,customer16@example.com,California,12/24/2022
17,Customer 17,customer17@example.com,Florida,6/24/2022
18,Customer 18,customer18@example.com,Texas,3/21/2022
19,Customer 19,customer19@example.com,California,5/6/2023
20,Customer 20,customer20@example.com,Texas,2/22/2022
